2024-10-29 06:28:00,400: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.1, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n01')
2024-10-29 06:28:00,499: Number of GPUs available: 8
2024-10-29 06:28:01,802: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 06:28:01,803: positive weight: 36.9080
2024-10-29 06:29:00,380: Final Training Loss: 0.6555, Accuracy: 0.9429
2024-10-29 06:29:55,970: Final Training Loss: 0.6458, Accuracy: 0.9691
2024-10-29 06:30:52,675: Final Training Loss: 0.6366, Accuracy: 0.9597
2024-10-29 06:31:50,032: Final Training Loss: 0.6297, Accuracy: 0.9497
2024-10-29 06:32:49,536: Final Training Loss: 0.6222, Accuracy: 0.9317
2024-10-29 06:33:49,970: Final Training Loss: 0.6120, Accuracy: 0.9246
2024-10-29 06:34:52,467: Final Training Loss: 0.6007, Accuracy: 0.9293
2024-10-29 06:35:56,338: Final Training Loss: 0.5909, Accuracy: 0.9074
2024-10-29 06:37:02,420: Final Training Loss: 0.5806, Accuracy: 0.8964
2024-10-29 06:38:10,413: Final Training Loss: 0.5662, Accuracy: 0.8852
2024-10-29 06:38:27,394: Test Loss: 0.7302, Accuracy: 0.7436
2024-10-29 06:38:27,395: DP:0.01, EO:0.00
2024-10-29 06:38:45,639: Step [20/699], Loss D: 0.8919, Loss G: -0.6351
2024-10-29 06:38:48,993: Step [40/699], Loss D: 0.7280, Loss G: -0.4573
2024-10-29 06:38:52,224: Step [60/699], Loss D: 0.6372, Loss G: -0.1044
2024-10-29 06:38:55,548: Step [80/699], Loss D: 0.5883, Loss G: -0.3850
2024-10-29 06:38:58,792: Step [100/699], Loss D: 0.5722, Loss G: -0.6133
2024-10-29 06:39:02,096: Step [120/699], Loss D: 0.8238, Loss G: -0.4631
2024-10-29 06:39:05,399: Step [140/699], Loss D: 0.4894, Loss G: -0.3727
2024-10-29 06:39:08,647: Step [160/699], Loss D: 0.2617, Loss G: -0.1000
2024-10-29 06:39:11,990: Step [180/699], Loss D: 0.6230, Loss G: -0.1443
2024-10-29 06:39:15,199: Step [200/699], Loss D: 0.5374, Loss G: -0.4209
2024-10-29 06:39:18,487: Step [220/699], Loss D: 0.3870, Loss G: -0.2787
2024-10-29 06:39:21,828: Step [240/699], Loss D: 0.5627, Loss G: -0.6782
2024-10-29 06:39:25,056: Step [260/699], Loss D: 0.5784, Loss G: -0.3213
2024-10-29 06:39:28,356: Step [280/699], Loss D: 0.4741, Loss G: -0.4266
2024-10-29 06:39:31,574: Step [300/699], Loss D: 0.4839, Loss G: -0.3748
2024-10-29 06:39:34,900: Step [320/699], Loss D: 0.4632, Loss G: -0.5958
