2024-10-29 08:41:49,071: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.2, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n02')
2024-10-29 08:41:49,168: Number of GPUs available: 8
2024-10-29 08:41:50,445: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 08:41:50,445: positive weight: 36.9080
2024-10-29 08:56:29,354: Step [420/699], Loss D: 0.4491, Loss G: 0.1287
2024-10-29 08:56:32,680: Step [440/699], Loss D: 0.8973, Loss G: 0.1398
2024-10-29 08:56:35,884: Step [460/699], Loss D: 0.4899, Loss G: -0.0074
2024-10-29 08:56:39,158: Step [480/699], Loss D: 0.4328, Loss G: -0.0579
2024-10-29 08:56:42,554: Step [500/699], Loss D: 0.4374, Loss G: 0.0549
2024-10-29 08:56:45,840: Step [520/699], Loss D: 0.3952, Loss G: -0.1421
2024-10-29 08:56:49,119: Step [540/699], Loss D: 0.4712, Loss G: -0.3173
2024-10-29 08:56:52,338: Step [560/699], Loss D: 0.4338, Loss G: -0.4268
2024-10-29 08:56:55,620: Step [580/699], Loss D: 0.4459, Loss G: -0.0829
2024-10-29 08:56:58,913: Step [600/699], Loss D: 0.5516, Loss G: 0.6481
2024-10-29 08:57:02,126: Step [620/699], Loss D: 0.4210, Loss G: -0.4610
2024-10-29 08:57:05,418: Step [640/699], Loss D: 0.4255, Loss G: -0.6274
2024-10-29 08:57:08,644: Step [660/699], Loss D: 0.4447, Loss G: -0.0001
2024-10-29 08:57:13,097: Step [680/699], Loss D: 0.3419, Loss G: 0.0284
2024-10-29 08:57:35,341: Test Loss: 0.6622, Accuracy: 0.7607
2024-10-29 08:57:35,341: DP:0.04, EO:0.25
2024-10-29 08:57:51,704: Step [20/699], Loss D: 0.5349, Loss G: -0.3312
2024-10-29 08:57:55,202: Step [40/699], Loss D: 0.4277, Loss G: -0.1711
2024-10-29 08:57:58,583: Step [60/699], Loss D: 0.5220, Loss G: 0.4050
2024-10-29 08:58:01,908: Step [80/699], Loss D: 0.6096, Loss G: -0.4632
2024-10-29 08:58:05,279: Step [100/699], Loss D: 0.6076, Loss G: 0.3751
2024-10-29 08:58:08,608: Step [120/699], Loss D: 0.6807, Loss G: -0.4841
2024-10-29 08:58:11,951: Step [140/699], Loss D: 0.6143, Loss G: -0.1303
2024-10-29 08:58:15,281: Step [160/699], Loss D: 0.4306, Loss G: -0.1393
2024-10-29 08:58:18,748: Step [180/699], Loss D: 0.5383, Loss G: -0.2777
2024-10-29 08:58:22,215: Step [200/699], Loss D: 0.2156, Loss G: 0.1401
2024-10-29 08:58:25,478: Step [220/699], Loss D: 0.2335, Loss G: -0.2936
2024-10-29 08:58:28,785: Step [240/699], Loss D: 0.5311, Loss G: -0.0344
2024-10-29 08:58:32,088: Step [260/699], Loss D: 0.5257, Loss G: -0.2115
2024-10-29 08:58:35,329: Step [280/699], Loss D: 0.4052, Loss G: 0.0158
2024-10-29 08:58:38,645: Step [300/699], Loss D: 0.3395, Loss G: -0.1651
2024-10-29 08:58:41,913: Step [320/699], Loss D: 0.2009, Loss G: -0.2545
2024-10-29 08:58:46,083: Step [340/699], Loss D: 0.6170, Loss G: -0.4755
2024-10-29 08:58:50,544: Step [360/699], Loss D: 0.6319, Loss G: -0.2339
2024-10-29 08:58:54,898: Step [380/699], Loss D: 0.2929, Loss G: -0.2921
2024-10-29 08:58:59,366: Step [400/699], Loss D: 0.4403, Loss G: -0.2264
2024-10-29 08:59:03,868: Step [420/699], Loss D: 0.3804, Loss G: -0.2172
2024-10-29 08:59:08,211: Step [440/699], Loss D: 0.3013, Loss G: -0.2194
2024-10-29 08:59:12,391: Step [460/699], Loss D: 0.4491, Loss G: -0.0667
2024-10-29 08:59:15,712: Step [480/699], Loss D: 0.2928, Loss G: -0.2891
2024-10-29 08:59:19,946: Step [500/699], Loss D: 0.3860, Loss G: -0.0511
2024-10-29 08:59:24,367: Step [520/699], Loss D: 0.5100, Loss G: -0.0285
2024-10-29 08:59:28,891: Step [540/699], Loss D: 0.5366, Loss G: -0.4831
2024-10-29 08:59:33,080: Step [560/699], Loss D: 0.4788, Loss G: -0.0224
2024-10-29 08:59:36,429: Step [580/699], Loss D: 0.2960, Loss G: 0.0346
2024-10-29 08:59:39,679: Step [600/699], Loss D: 0.2342, Loss G: -0.3461
2024-10-29 08:59:43,020: Step [620/699], Loss D: 0.4051, Loss G: -0.3407
2024-10-29 08:59:46,278: Step [640/699], Loss D: 0.5268, Loss G: -0.1234
2024-10-29 08:59:49,635: Step [660/699], Loss D: 0.3737, Loss G: -0.4057
2024-10-29 08:59:53,946: Step [680/699], Loss D: 0.6722, Loss G: -0.0308
2024-10-29 09:00:17,157: Test Loss: 0.6537, Accuracy: 0.7735
2024-10-29 09:00:17,157: DP:0.03, EO:0.00
2024-10-29 09:00:35,308: Step [20/699], Loss D: 1.0769, Loss G: -0.7479
2024-10-29 09:00:38,730: Step [40/699], Loss D: 0.5853, Loss G: -0.2279
2024-10-29 09:00:42,282: Step [60/699], Loss D: 0.5671, Loss G: 0.1550
